Amount,Category,Type,Date
70.0,Food,Expense,2021-12-18
10.0,Food,Expense,2022-01-04
40.0,Food,Expense,2021-12-25
14.0,Food,Income,2021-12-30
100.0,Food,Expense,2021-12-09
155.0,Food,Expense,2022-01-30
113.0,Food,Expense,2021-12-18
40.0,Food,Expense,2021-12-01
40.0,Food,Expense,2021-12-20
130.0,Food,Expense,2021-11-28
475.0,Food,Expense,2022-02-16
20.0,Food,Expense,2021-12-20
380.0,Food,Expense,2022-02-19
25.0,Food,Expense,2021-12-04
125.0,Food,Expense,2022-02-06
120.0,Food,Expense,2022-01-30
25.0,Food,Expense,2021-12-07
110.0,Food,Expense,2021-12-16
179.0,Food,Expense,2021-11-24
50.0,Food,Income,2021-12-27
30.0,Food,Expense,2021-12-17
165.0,Food,Expense,2022-02-16
200.0,Food,Expense,2022-02-20
289.0,Food,Expense,2022-02-24
105.0,Food,Expense,2022-01-30
80.0,Food,Expense,2021-12-14
107.0,Food,Expense,2022-01-04
66.0,Food,Expense,2022-01-13
148.0,Food,Expense,2022-01-18
110.0,Food,Expense,2021-12-17
176.0,Food,Expense,2022-01-23
145.0,Food,,
301.75,Food,Expense,2022-01-12
120.0,Food,Expense,2021-11-28
65.0,Food,Expense,2021-12-04
75.0,Food,Expense,2021-12-02
504.0,Food,Income,2021-12-03
388.0,Food,Expense,2022-01-05
465.0,Food,Expense,2022-01-23
80.0,Food,Expense,2022-02-04
40.0,Food,Expense,2021-11-29
504.0,Food,Expense,2021-12-27
70.0,Food,Expense,2021-11-30
25.0,Food,Expense,2022-01-26
20.0,Food,Income,2021-12-30
373.0,Food,Expense,2022-02-11
40.0,Food,Expense,2021-11-29
239.0,Food,Expense,2021-12-23
83.0,Food,Expense,2022-02-23
15.0,Food,Expense,2022-01-07
106.0,Food,,
200.0,Food,Expense,2021-12-04
50.0,Food,Expense,2022-02-03
15.0,Food,Expense,2021-12-07
25.0,Food,Expense,2021-12-08
40.0,Food,Expense,2022-01-23
243.0,Food,Expense,2022-02-27
10.0,Food,Expense,2022-01-28
32.0,Food,Expense,2021-12-23
324.0,Food,Income,2021-12-05
354.0,Food,Expense,2022-01-05
348.0,Food,Expense,2022-02-18
95.0,Food,Expense,2021-11-26
324.7,Food,Expense,2022-02-24
40.0,Food,Expense,2021-12-10
15.0,Food,Expense,2021-11-25
50.0,Food,Expense,2022-03-02
280.0,Food,Expense,2021-12-09
211.0,Food,Expense,2022-01-05
302.0,Food,Expense,2022-01-23
30.0,Food,Expense,2021-12-25
120.0,Food,Expense,2022-02-02
133.0,Food,Expense,2022-01-24
74.0,Food,Expense,2021-12-14
150.0,Food,Expense,2022-02-06
641.0,Food,Expense,2022-02-10
195.0,Food,Expense,2021-12-10
40.0,Food,Expense,2022-01-24
15.0,Food,Expense,2021-12-24
40.0,Food,Expense,2021-11-26
20.0,Food,Expense,2021-11-25
150.0,Food,Income,2021-11-27
37.0,Food,Expense,2022-01-21
25.0,Food,Expense,2021-12-09
20.0,Food,Expense,2022-01-06
20.0,Food,Income,2022-01-01
138.0,Food,Expense,2022-01-28
102.0,Food,Expense,2021-11-27
150.0,Food,Expense,2021-11-26
877.81,Food,Expense,2022-01-06
97.0,Food,Expense,2021-11-23
160.0,Food,Expense,2021-12-18
70.0,Food,Expense,2022-01-15
25.0,Food,Expense,2022-02-26
241.0,Food,Income,2021-12-11
40.0,Food,Expense,2021-12-03
301.15,Food,Expense,2022-01-18
115.0,Food,Expense,2022-01-26
30.0,Food,Expense,2021-12-25
115.0,Food,Expense,2021-12-28
279.0,Food,Expense,2022-01-27
188.0,Food,Expense,2022-01-21
84.0,Food,Expense,2022-02-26
300.0,Food,Expense,2022-01-23
300.0,Food,Income,2022-01-03
110.0,Food,Expense,2021-12-09
20.0,Food,Expense,2021-12-20
262.0,Food,Expense,2021-12-24
75.0,Food,Expense,2021-11-27
30.0,Food,Expense,2021-11-27
80.0,Food,Expense,2021-12-21
33.0,Food,Expense,2022-02-25
111.0,Food,Expense,2022-02-19
535.3,Food,Expense,2022-01-08
50.0,Food,Expense,2021-11-30
339.15,Food,Expense,2022-02-28
80.0,Food,Expense,2022-02-17
18.0,Food,Expense,2022-01-25
85.0,Food,Expense,2022-01-02
94.0,Food,Expense,2021-11-29
40.0,Food,Expense,2022-02-26
269.4,Food,Expense,2021-11-29
30.0,Food,Expense,2021-12-16
67.0,Food,Expense,2022-03-01
150.0,Food,Expense,2021-12-06
10.0,Food,Expense,2022-01-06
15.0,Food,Expense,2021-12-08
1530.0,Food,Expense,2022-01-14
25.0,Food,Expense,2021-12-14
59.0,Food,Expense,2022-01-18
90.0,Food,Expense,2021-11-24
106.0,Food,Expense,2022-01-10
171.0,Food,Expense,2022-01-19
18.0,Food,Expense,2021-12-21
80.0,Food,Expense,2022-02-12
135.5,Food,Expense,2022-01-11
70.0,Food,Expense,2021-11-25
160.0,Food,Expense,2021-12-01
259.0,Food,Expense,2022-01-25
60.0,Food,Expense,2021-11-26
78.0,Food,Expense,2022-03-01
150.56575809221792,Other,,
1500.0,Other,,
200.0,Other,,
500.0,Other,,
1000.0,Other,,
240.0,Other,Income,2022-01-14
1000.0,Other,,
143.5256885633417,Other,,
142.74721792990064,Other,,
250.0,Other,,
125.0,Other,Income,2022-01-26
143.31158747336391,Other,,
300.0,Other,Expense,2022-01-27
100.0,Other,,
1000.0,Other,Income,2022-01-18
340.0,Other,Income,2022-01-14
2000.0,Other,,
300.0,Other,,
200.0,Other,,
500.0,Other,,
200.27827047883514,Other,,
1500.0,Other,Income,2022-01-27
500.0,Other,Income,2022-02-02
5000.0,Other,Income,2022-02-06
1000.0,Other,Income,2022-01-13
80.0,Other,,
240.0,Other,,
400.0,Other,Income,2021-12-18
40.0,Other,Income,2021-12-27
30.0,Other,,
8.0,Other,Income,2022-01-03
100.0,Other,,
50.0,Other,Expense,2021-12-17
450.50708101814234,Other,,
1000.0,Other,,
79.06828441545754,Other,,
130.3444675711546,Other,,
302.52679889862617,Other,,
5.0,Other,Income,2022-01-03
170.0,Other,Income,2022-01-14
30.0,Other,,
2000.0,Other,,
50.0,Other,,
40.0,Other,Expense,2022-01-05
456.5126577475484,Other,,
200.0,Other,Income,2022-01-21
254.65910580624558,Other,,
100.0,Other,,
150.0,Other,Expense,2022-02-03
500.0,Other,,
500.0,Other,,
1500.0,Other,,
70.0,Other,Income,2022-01-14
1000.0,Other,,
200.0,Other,,
201.0,Other,Expense,2022-01-03
1500.0,Other,Income,2022-02-26
479.0,Other,Expense,2022-01-12
30.0,Other,,
240.0,Other,,
5777.330756609243,Other,,
100.0,Other,Expense,2022-01-27
340.0,Other,,
1500.0,Other,Expense,2022-02-06
40.0,Other,,
300.0,Other,,
300.0,Other,Expense,2022-03-02
80.0,Other,,
7.883516073048048,Other,,
300.0,Other,Expense,2022-01-03
100.0,Other,,
340.0,Other,Income,2022-01-14
80.0,Other,Expense,2022-01-04
142.01719202335397,Other,,
1500.0,Other,Income,2022-01-15
200.0,Other,Expense,2022-01-18
500.0,Other,,
500.0,Other,Expense,2022-01-05
240.0,Other,,
100.0,Other,,
142.66781014275284,Other,,
100.0,Other,,
250.0,Other,Expense,2021-12-30
50.0,Other,,
40.0,Other,,
200.0,Other,,
200.0,Other,Income,2022-01-12
100.0,Other,,
200.74608458606565,Other,,
340.0,Other,,
441.2889785831214,Other,,
23.8292687475379,Other,,
100.0,Other,Expense,2021-12-19
100.0,Other,Expense,2022-02-26
