Date,Category,Amount,Type
2020-01-02,Food & Drink,1485.69,Expense
2020-01-02,Utilities,1475.58,Expense
2020-01-04,Rent,1185.08,Expense
2020-01-05,Investment,2291.0,Income
2020-01-13,Food & Drink,1126.88,Expense
2020-01-14,Shopping,448.68,Expense
2020-01-18,Food & Drink,1520.03,Expense
2020-01-19,Other,3287.0,Income
2020-01-21,Entertainment,1914.85,Expense
2020-01-25,Rent,766.06,Expense
2020-01-25,Health & Fitness,1211.41,Expense
2020-01-26,Salary,3231.2699999999995,Income
2020-01-29,Shopping,166.81,Expense
2020-01-30,Health & Fitness,1158.93,Expense
2020-01-31,Food & Drink,1325.91,Expense
2020-01-31,Rent,1712.08,Expense
2020-01-31,Shopping,563.17,Expense
2020-02-02,Health & Fitness,333.68,Expense
2020-02-04,Travel,1406.62,Expense
2020-02-05,Rent,1222.17,Expense
2020-02-05,Investment,1838.0,Income
2020-02-07,Travel,1979.15,Expense
2020-02-07,Entertainment,1372.38,Expense
2020-02-08,Food & Drink,465.81,Expense
2020-02-08,Other,3786.0,Income
2020-02-09,Entertainment,1827.14,Expense
2020-02-11,Health & Fitness,433.13,Expense
2020-02-13,Salary,882.9300000000001,Income
2020-02-15,Other,4009.0,Income
2020-02-16,Shopping,730.37,Expense
2020-02-16,Utilities,1023.96,Expense
2020-02-18,Investment,1398.0,Income
2020-02-19,Investment,3958.0,Income
2020-02-20,Shopping,769.42,Expense
2020-02-26,Travel,1942.45,Expense
2020-02-27,Food & Drink,1363.76,Expense
2020-02-28,Other,3286.0,Income
2020-02-28,Other,1795.0,Income
2020-02-29,Travel,1944.06,Expense
2020-03-03,Rent,1742.33,Expense
2020-03-04,Entertainment,314.15,Expense
2020-03-04,Food & Drink,1201.9,Expense
2020-03-09,Rent,1858.91,Expense
2020-03-09,Travel,486.51,Expense
2020-03-11,Rent,180.45,Expense
2020-03-11,Rent,1956.19,Expense
2020-03-12,Utilities,265.5,Expense
2020-03-12,Utilities,537.46,Expense
2020-03-14,Shopping,1929.08,Expense
2020-03-15,Entertainment,1428.77,Expense
2020-03-18,Health & Fitness,881.82,Expense
2020-03-21,Rent,503.33,Expense
2020-03-23,Investment,2385.0,Income
2020-03-23,Food & Drink,151.28,Expense
2020-03-24,Entertainment,144.13,Expense
2020-03-28,Other,1080.0,Income
2020-04-01,Travel,1341.27,Expense
2020-04-05,Utilities,1449.47,Expense
2020-04-06,Salary,1480.68,Income
2020-04-06,Shopping,388.92,Expense
2020-04-10,Other,3402.0,Income
2020-04-17,Salary,5187.12,Income
2020-04-17,Investment,996.0,Income
2020-04-18,Health & Fitness,1603.18,Expense
2020-04-22,Investment,2058.0,Income
2020-04-23,Utilities,849.54,Expense
2020-04-25,Entertainment,1750.23,Expense
2020-04-26,Investment,914.0,Income
2020-04-26,Food & Drink,1938.3,Expense
2020-04-27,Entertainment,340.96,Expense
2020-04-27,Entertainment,1730.65,Expense
2020-04-29,Utilities,764.16,Expense
2020-04-30,Travel,1853.77,Expense
2020-05-01,Travel,851.78,Expense
2020-05-03,Salary,954.15,Income
2020-05-03,Food & Drink,1162.57,Expense
2020-05-05,Health & Fitness,123.76,Expense
2020-05-06,Utilities,123.19,Expense
2020-05-06,Utilities,146.36,Expense
2020-05-07,Investment,3807.0,Income
2020-05-11,Investment,825.0,Income
2020-05-12,Shopping,1318.17,Expense
2020-05-13,Health & Fitness,1870.07,Expense
2020-05-14,Health & Fitness,484.99,Expense
2020-05-15,Travel,919.88,Expense
2020-05-16,Rent,28.54,Expense
2020-05-17,Rent,155.79,Expense
2020-05-19,Travel,273.59,Expense
2020-05-20,Rent,1759.75,Expense
2020-05-21,Utilities,881.99,Expense
2020-05-25,Travel,1227.24,Expense
2020-05-27,Food & Drink,1339.05,Expense
2020-05-28,Rent,1878.47,Expense
2020-05-29,Investment,1376.0,Income
2020-05-30,Utilities,551.97,Expense
2020-05-31,Health & Fitness,415.16,Expense
2020-05-31,Travel,1015.76,Expense
2020-06-01,Food & Drink,193.67,Expense
2020-06-02,Travel,97.73,Expense
2020-06-05,Utilities,1277.86,Expense
2020-06-06,Salary,3323.5199999999995,Income
2020-06-07,Food & Drink,232.63,Expense
2020-06-08,Utilities,1095.72,Expense
2020-06-09,Utilities,865.28,Expense
2020-06-09,Other,826.0,Income
2020-06-10,Entertainment,1367.31,Expense
2020-06-10,Health & Fitness,1562.43,Expense
2020-06-11,Shopping,1947.94,Expense
2020-06-11,Entertainment,1730.57,Expense
2020-06-12,Utilities,1764.02,Expense
2020-06-14,Other,3872.0,Income
2020-06-15,Entertainment,540.94,Expense
2020-06-18,Rent,771.26,Expense
2020-06-18,Other,2322.0,Income
2020-06-18,Other,3364.0,Income
2020-06-19,Entertainment,453.62,Expense
2020-06-19,Shopping,663.24,Expense
2020-06-21,Travel,708.78,Expense
